raw_product_code,canonical_brand,canonical_product_code
I0156,AMINOGLOBIN-XT,I0156
I0232,AMINOGLOBIN-XT,I0156
I0003,ARDEN 250,I0003
I0005,ARDEN 325,I0005
I0009,ARDEN 500,I0009
I0400,ARDEN 500,I0009
I0010,ARDEN 650,I0010
I0165,ARDEN A,I0165
I0237,ARDEN A,I0165
I0006,ARDEN JUNIOR,I0006
I0111,ARDEN MF SUSPENSION,I0111
I0240,ARDEN MF SUSPENSION,I0111
I0167,ARDEN SPAS,I0167
I0238,ARDEN SPAS,I0167
I0196,COLDAID +,I0196
I0388,COLDAID +,I0196
I0053,COLDAID SUSPENSION,I0053
I0243,COLDAID SUSPENSION,I0053
I0021,CONIDERM-F,I0021
I0298,CONIDERM-F,I0021
I0036,CONIDERM-MX,I0036
I0242,CONIDERM-MX,I0036
I0074,HEPAHEAL SYRUP,I0074
I0233,HEPAHEAL SYRUP,I0074
I0023,LORAMYL,I0023
I0244,LORAMYL,I0023
I0272,MV 30 SYRUP,I0272
I0281,MV 30 SYRUP,I0272
I0274,MV 30 TAB,I0274
I0282,MV 30 TAB,I0274
I0197,ORT+,I0197
I0234,ORT+,I0197
I0184,SERVIL HERBAL COUGH SYRUP,I0184
I0239,SERVIL HERBAL COUGH SYRUP,I0184
I0037,SERVIL JUNIOR,I0037
I0283,SERVIL JUNIOR,I0037
I0044,SERVIL LS- BABY DROPS,I0044
I0071,SERVIL-D,I0071
I0018,SERVIL-LS JUNIOR,I0018
I0108,SERVIL-LS SYRUP,I0108
